"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"sham:TMS (bilateral)",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"TMS (left):TMS (right)",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"sham:TMS (left)",2,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
"active control:TMS (right)",1,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
"sham:TMS (right)",2,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"active control:sham",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"sham:tDCS",2,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
"TMS (bilateral):TMS (left)",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"TMS (bilateral):TMS (right)",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"active control:TMS (bilateral)",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"tDCS:TMS (bilateral)",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"active control:TMS (left)",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
"tDCS:TMS (left)",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"tDCS:TMS (right)",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"active control:tDCS",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
