"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"CBT:CBT + stimulants",1,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"CBT:DBT",1,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
"CBT:TAU",1,"Some concerns","Low risk","No concerns","No concerns","Some concerns","Some concerns","Low","[]"
"CBT:cognitive training",1,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT:hypnotherapy",1,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT:neurofeedback",1,"No concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT:no treatment",1,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT:psychoeducation",1,"Some concerns","Low risk","No concerns","No concerns","Some concerns","No concerns","Moderate","[]"
"CBT:relaxation therapy",2,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
"CBT:sham + neurofeedback",1,"No concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT:waiting list",3,"Some concerns","Low risk","No concerns","No concerns","Some concerns","Some concerns","Low","[]"
"CBT + TAU:TAU",2,"Some concerns","Low risk","No concerns","No concerns","Some concerns","Some concerns","Low","[]"
"DBT:waiting list",1,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","Moderate","[]"
"DBT + TAU:TAU",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"mindfulness + TAU:TAU",1,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Low","[]"
"cognitive placebo:cognitive training",3,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive training:hypnotherapy",1,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive training:no treatment",1,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"hypnotherapy:no treatment",1,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"mindfulness:psychoeducation",2,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"mindfulness:waiting list",3,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","Moderate","[]"
"neurofeedback:sham + neurofeedback",1,"No concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"relaxation therapy:waiting list",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT:CBT + TAU",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT:DBT + TAU",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT:cognitive placebo",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT:mindfulness",0,"Some concerns","Low risk","No concerns","No concerns","Some concerns","Some concerns","Low","[]"
"CBT:mindfulness + TAU",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + stimulants:CBT + TAU",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"CBT + TAU:DBT",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + TAU:DBT + TAU",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + TAU:cognitive placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + TAU:cognitive training",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + TAU:hypnotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + TAU:mindfulness",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Low","[]"
"CBT + TAU:mindfulness + TAU",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + TAU:neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + TAU:no treatment",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + TAU:psychoeducation",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Low","[]"
"CBT + TAU:relaxation therapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + TAU:sham + neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + TAU:waiting list",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + stimulants:DBT",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Low","[]"
"CBT + stimulants:DBT + TAU",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"CBT + stimulants:TAU",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"CBT + stimulants:cognitive placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + stimulants:cognitive training",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + stimulants:hypnotherapy",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + stimulants:mindfulness",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + stimulants:mindfulness + TAU",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","High","[]"
"CBT + stimulants:neurofeedback",0,"No concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"CBT + stimulants:no treatment",0,"Major concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Very low","[]"
"CBT + stimulants:psychoeducation",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"CBT + stimulants:relaxation therapy",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"CBT + stimulants:sham + neurofeedback",0,"No concerns","Low risk","No concerns","No concerns","Some concerns","Some concerns","Moderate","[]"
"CBT + stimulants:waiting list",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"DBT:DBT + TAU",0,"Some concerns","Low risk","No concerns","No concerns","Some concerns","Some concerns","Low","[]"
"DBT:TAU",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"cognitive placebo:DBT",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive training:DBT",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"DBT:hypnotherapy",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"DBT:mindfulness",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","High","[]"
"DBT:mindfulness + TAU",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Low","[]"
"DBT:neurofeedback",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"DBT:no treatment",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"DBT:psychoeducation",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"DBT:relaxation therapy",0,"Some concerns","Low risk","No concerns","No concerns","Some concerns","Some concerns","Low","[]"
"DBT:sham + neurofeedback",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive placebo:DBT + TAU",0,"Some concerns","Low risk","No concerns","No concerns","Major concerns","Some concerns","Very low","[]"
"cognitive training:DBT + TAU",0,"Some concerns","Low risk","No concerns","No concerns","Major concerns","Some concerns","Very low","[]"
"DBT + TAU:hypnotherapy",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Low","[]"
"DBT + TAU:mindfulness",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"DBT + TAU:mindfulness + TAU",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"DBT + TAU:neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"DBT + TAU:no treatment",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"DBT + TAU:psychoeducation",0,"Some concerns","Low risk","No concerns","No concerns","Some concerns","Some concerns","Low","[]"
"DBT + TAU:relaxation therapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"DBT + TAU:sham + neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"DBT + TAU:waiting list",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive placebo:TAU",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"cognitive training:TAU",0,"Major concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Very low","[]"
"hypnotherapy:TAU",0,"Major concerns","Low risk","No concerns","No concerns","Some concerns","Some concerns","Very low","[]"
"mindfulness:TAU",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"neurofeedback:TAU",0,"No concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Low","[]"
"no treatment:TAU",0,"Major concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Very low","[]"
"psychoeducation:TAU",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"relaxation therapy:TAU",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"sham + neurofeedback:TAU",0,"No concerns","Low risk","No concerns","No concerns","Some concerns","Some concerns","Moderate","[]"
"TAU:waiting list",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive placebo:hypnotherapy",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive placebo:mindfulness",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive placebo:mindfulness + TAU",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive placebo:neurofeedback",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive placebo:no treatment",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive placebo:psychoeducation",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive placebo:relaxation therapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive placebo:sham + neurofeedback",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive placebo:waiting list",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Low","[]"
"cognitive training:mindfulness",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive training:mindfulness + TAU",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive training:neurofeedback",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive training:psychoeducation",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive training:relaxation therapy",0,"Major concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Very low","[]"
"cognitive training:sham + neurofeedback",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"cognitive training:waiting list",0,"Major concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Very low","[]"
"hypnotherapy:mindfulness",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"hypnotherapy:mindfulness + TAU",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"hypnotherapy:neurofeedback",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"hypnotherapy:psychoeducation",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"hypnotherapy:relaxation therapy",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"hypnotherapy:sham + neurofeedback",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"hypnotherapy:waiting list",0,"Major concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Very low","[]"
"mindfulness:mindfulness + TAU",0,"Some concerns","Low risk","No concerns","No concerns","Some concerns","Some concerns","Low","[]"
"mindfulness:neurofeedback",0,"Some concerns","Low risk","No concerns","No concerns","Some concerns","Some concerns","Low","[]"
"mindfulness:no treatment",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"mindfulness:relaxation therapy",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"mindfulness:sham + neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
