"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"DBT + placebo:DBT + stimulants",1,"No concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","Moderate","[]"
"DBT + placebo:placebo",1,"No concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Low","[]"
"DBT + placebo:stimulants",1,"No concerns","Low risk","No concerns","Some concerns","No concerns","Major concerns","Very low","[]"
"DBT + stimulants:placebo",1,"No concerns","Low risk","No concerns","Some concerns","Some concerns","Major concerns","Very low","[]"
"DBT + stimulants:stimulants",1,"No concerns","Low risk","No concerns","Some concerns","Some concerns","Major concerns","Very low","[]"
"atomoxetine:placebo",14,"No concerns","Low risk","No concerns","No concerns","Some concerns","No concerns","Moderate","[]"
"atomoxetine:stimulants",1,"No concerns","Low risk","No concerns","No concerns","Some concerns","No concerns","Moderate","[]"
"bupropion:placebo",2,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"guanfacine:placebo",1,"No concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"modafinil:placebo",1,"No concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","Moderate","[]"
"placebo:stimulants",25,"No concerns","Low risk","No concerns","No concerns","Some concerns","No concerns","Moderate","[]"
"placebo:viloxazine",1,"No concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","Moderate","[]"
"atomoxetine:DBT + placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"bupropion:DBT + placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"DBT + placebo:guanfacine",0,"No concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","Moderate","[]"
"DBT + placebo:modafinil",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"DBT + placebo:viloxazine",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"atomoxetine:DBT + stimulants",0,"No concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","Moderate","[]"
"bupropion:DBT + stimulants",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"DBT + stimulants:guanfacine",0,"No concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"DBT + stimulants:modafinil",0,"No concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","Moderate","[]"
"DBT + stimulants:viloxazine",0,"No concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","Moderate","[]"
"atomoxetine:bupropion",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"atomoxetine:guanfacine",0,"No concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","Moderate","[]"
"atomoxetine:modafinil",0,"No concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Moderate","[]"
"atomoxetine:viloxazine",0,"No concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Moderate","[]"
"bupropion:guanfacine",0,"No concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","Moderate","[]"
"bupropion:modafinil",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"bupropion:stimulants",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"bupropion:viloxazine",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"guanfacine:modafinil",0,"No concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Moderate","[]"
"guanfacine:stimulants",0,"No concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"guanfacine:viloxazine",0,"No concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","Moderate","[]"
"modafinil:stimulants",0,"No concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","Moderate","[]"
"modafinil:viloxazine",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"stimulants:viloxazine",0,"No concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","Moderate","[]"
