"study","t","r","n","id","rob","indirectness"
"Weisler 2006","stimulants",34,130,1,"1",1
"Weisler 2006","placebo",22,64,1,"1",1
"Wilens 2001","bupropion",2,21,2,"2",1
"Wilens 2001","placebo",0,19,2,"2",1
"Young 2011","atomoxetine",149,268,3,"1",1
"Young 2011","placebo",100,234,3,"1",1
"Wilens 2008","atomoxetine",40,72,4,"1",1
"Wilens 2008","placebo",27,75,4,"1",1
"Winhusen 2010","stimulants",20,127,5,"1",1
"Winhusen 2010","placebo",20,128,5,"1",1
"Adler 2009a","atomoxetine",97,224,6,"1",1
"Adler 2009a","placebo",81,218,6,"1",1
"Adler 2008a","atomoxetine",167,271,7,"1",1
"Adler 2008a","placebo",71,139,7,"1",1
"Adler 2008b","stimulants",61,358,8,"1",1
"Adler 2008b","placebo",10,62,8,"1",1
"Adler 2013","stimulants",18,80,9,"1",1
"Adler 2013","placebo",28,81,9,"1",1
"Adler 2009b","atomoxetine",156,250,10,"1",1
"Adler 2009b","placebo",139,251,10,"1",1
"Adler 2009c","stimulants",42,113,11,"1",1
"Adler 2009c","placebo",26,116,11,"1",1
"Arnold 2014","modafinil",66,146,12,"1",1
"Arnold 2014","placebo",23,74,12,"1",1
"Biederman 2012","stimulants",4,35,13,"2",1
"Biederman 2012","placebo",4,34,13,"2",1
"Bron 2014","stimulants",4,14,14,"1",1
"Bron 2014","placebo",1,13,14,"1",1
"Casas 2013","stimulants",72,182,15,"1",1
"Casas 2013","placebo",29,97,15,"1",1
"Durell 2013","atomoxetine",105,220,16,"1",1
"Durell 2013","placebo",95,225,16,"1",1
"Goto 2013","atomoxetine",40,195,17,"1",1
"Goto 2013","placebo",25,196,17,"1",1
"Huss 2014","stimulants",113,544,18,"1",1
"Huss 2014","placebo",28,181,18,"1",1
"McRae-Clark 2010","atomoxetine",20,39,19,"2",1
"McRae-Clark 2010","placebo",20,39,19,"2",1
"Michelson 2003a","atomoxetine",39,141,20,"1",1
"Michelson 2003a","placebo",32,139,20,"1",1
"Reimherr 2005","bupropion",6,35,21,"1",1
"Reimherr 2005","placebo",6,24,21,"1",1
"Rosler 2009","stimulants",58,241,22,"1",1
"Rosler 2009","placebo",52,118,22,"1",1
"Spencer 1995","stimulants",1,25,23,"2",1
"Spencer 1995","placebo",0,25,23,"2",1
"Spencer 2001","stimulants",0,30,24,"1",1
"Spencer 2001","placebo",1,30,24,"1",1
"Spencer 2007","placebo",10,53,25,"2",1
"Spencer 2007","stimulants",27,168,25,"2",1
"Sutherland 2012","atomoxetine",27,97,26,"2",1
"Sutherland 2012","placebo",20,47,26,"2",1
"Takahashi 2014","stimulants",9,143,27,"1",1
"Takahashi 2014","placebo",6,141,27,"1",1
"Goodman 2016","stimulants",37,178,28,"1",1
"Goodman 2016","placebo",41,179,28,"1",1
"Biehl 2016","stimulants",0,19,29,"1",1
"Biehl 2016","placebo",1,16,29,"1",1
"Schrantee 2016","stimulants",2,25,30,"1",1
"Schrantee 2016","placebo",3,24,30,"1",1
"Spencer 1998","atomoxetine",1,22,31,"2",1
"Spencer 1998","placebo",0,22,31,"2",1
"Kay 2009a","stimulants",1,9,32,"1",1
"Kay 2009a","placebo",3,10,32,"1",1
"Frick 2017","stimulants",49,205,33,"1",1
"Frick 2017","placebo",44,104,33,"1",1
"Michelson 2003b","atomoxetine",47,129,34,"1",1
"Michelson 2003b","placebo",32,127,34,"1",1
"Weisler 2017","stimulants",28,184,35,"1",1
"Weisler 2017","placebo",11,91,35,"1",1
"Weiss 2020","placebo",9,78,36,"1",1
"Weiss 2020","stimulants",33,297,36,"1",1
"Iwanami 2020","placebo",7,100,37,"1",1
"Iwanami 2020","guanfacine",22,101,37,"1",1
"Faraone 2021","placebo",14,106,38,"1",1
"Faraone 2021","stimulants",40,214,38,"1",1
"Weisler 2012","placebo",11,74,39,"1",1
"Weisler 2012","stimulants",13,68,39,"1",1
"Weisler 2012","atomoxetine",20,74,39,"1",1
"Cutler 2022","stimulants",20,65,40,"1",1
"Cutler 2022","placebo",19,65,40,"1",1
"Philipsen 2015","stimulants",10,110,41,"1",1
"Philipsen 2015","placebo",27,107,41,"1",1
"Philipsen 2015","DBT + stimulants",15,107,41,"1",1
"Philipsen 2015","DBT + placebo",25,109,41,"1",1
"Nasser 2022","viloxazine",63,190,42,"1",1
"Nasser 2022","placebo",44,184,42,"1",1
"NCT03324581","atomoxetine",36,80,43,"1",1
"NCT03324581","placebo",25,82,43,"1",1
